capacity, state, code, herb, height, tonnes
  141.2,open,9!77{74}GL,Borage,53,2511
 3282.5,open,1!76{6Z}UZ,Basil,53,1814
  106.6,close,1!97{6R}VQ,Oregano,44,11589
  591.4,close,3!74{1G}PB,Dill,49,868
  114.6,close,9!90{3F}US,Bay,44,5029
 1510.8,open,8!52{OT}UW,Rosemary,51,389
 1633.6,open,2!62{2C}UN,Bay,50,9703
  484.4,open,7!~39{6K}TU,Basil,6,5875
  379.9,close,8!49{8E}BW,Basil,45,3958
  654.2,close,9!35{9R}XP,Basil,25,9
  527.8,open,1!29{9Q}FC,Dill,45,2660
  575.1,close,2!95{1Z}SV,Bergamot,44,4260
  594.1,close,4!50{2Q}OT,Oregano,48,2607
  473.4,open,4!24{4W}MJ,Mint,47,3748
 1035.6,open,8!97{2Z}VH,Coriander,51,3509
  250.4,close,0!77{3Z}NO,Mint,48,633
  585.2,close,9!62{7Z}DL,Coriander,49,2080
  382.0,open,1!14{7M}EA,Borage,50,1102
  116.8,close,5!90{5K}EL,Rosemary,51,3577
  560.5,open,2!76{6#}RT,Marjoram,47,3254
 3462.9,close,9!16{5T}MX,Bergamot,44,23
  352.8,close,4!69{2B}OH,Bay,46,1116
  220.3,open,6!86{4F}BF,Rosemary,48,94
 3503.9,close,3!89{8B}TR,Thyme,48,576
  276.5,open,4!10{4Y}RX,Fennel,44,2503
  477.3,open,6!08{3F}BU,Mint,49,1669
  555.0,close,6!14{7Y}XJ,Fennel,54,3110
  530.2,close,9!84{5Y}JI,Coriander,53,518
  432.5,close,1!81{7D}LX,Mint,45,4237
  314.8,close,0!96{1O}WW,Rosemary,53,2633
 1097.7,close,7!36{5G}US,Sage,41,139
  566.7,close,1!12{4L}AR,Dill,47,2221
 1105.1,open,1!60{3D}CR,Fennel,46,935
 1117.9,close,1!18{3Z}JT,Fennel,47,4912
 1715.2,open,7!22{8D}SF,Rosemary,46,1782
  522.5,close,0!48{6P}OP,Bay,51,3526
  470.6,close,4!08{0V}SM,Rosemary,49,3279
  320.5,open,0!56{4Y}WE,Mint,49,11144
  845.3,open,3!02{3V}HL,Oregano,54,6913
  413.2,open,8!11{0K}NO,Oregano,44,8090
  607.2,close,2!G4{1Q}JV,Mint,14,2946
  613.6,open,4!83{5A}EO,Bay,42,1559
  288.8,close,7!00{1W}BG,Basil,54,4426
   53.9,open,6!14{5X}IA,Basil,42,420
  672.3,close,9!56{5N}PX,Mint,51,1194
  590.4,close,1!8973S}TB,Borage,46,1286
  221.4,open,3!09{7F}UB,Dill,48,1470
  416.0,close,4!12{9L}FJ,Thyme,47,273
  516.6,close,2!25{8L}TK,Coriander,52,3021
  507.0,open,8!29{6G}PB,Basil,50,445
  563.3,open,6!66{2L}QR,Mint,52,1812
  629.3,open,2!84{7QyPR,Bergamot,54,1503
  496.4,close,8!86{mI}GN,Mint,11,321
 3220.0,open,9!62{9M}LX,Dill,54,2404
 1101.0,open,9!99{6W}OI,Dill,47,11977
 3456.6,close,4!76{5J}ZG,Bergamot,47,3415
  596.5,open,3!27{4M}QD,Rosemary,30,2089
  370.7,close,6!18{6L}ZI,Thyme,45,372
  137.6,open,5!87{1N}US,Mint,51,10655
  261.9,close,8!53{6G}IQ,Bergamot,44,622
  567.3,close,2!18{2B}AQ,Mint,48,5
  488.1,open,9!88{1M}IO,Bay,51,1896
  637.2,open,4!62{6Y}CC,Basil,29,319
  424.6,open,6!78{3H}QI,Rosemary,47,2584
  495.4,close,2!62{5G}UG,Mint,18,1653
  115.3,close,6!13{8F}JY,Bergamot,48,748
   57.4,open,6!01{7K}YU,Mint,50,3245
  229.3,close,0!00{7S}FE,Thyme,48,10736
  338.8,open,5!37{0I}JP,Rosemary,49,7994
  484.8,open,2!64{9W}IV,Fennel,20,11945
  334.4,open,9!73{5HVH,Mint,51,5996
   67.2,open,8!90{4C}YS,Coriander,53,2310
  373.0,open,3!57{9Y}QF,Fennel,20,119
  626.0,close,2!22{7K}VV,Fennel,44,9352
  419.9,close,8!A6{2T}KA,Fennel,52,4108
  573.4,open,7!95{8R}EG,Sage,49,3367
  282.0,open,4!70{3N}JU,Rosemary,47,3203
 3844.7,open,0A!91{9H}KJ,Rosemary,46,2693
  199.5,open,5!76{k2X}ZL,Dill,53,1738
 3648.7,close,5!51{8B}DE,Borage,48,1696
  485.6,close,5!71{2V2XF,Rosemary,23,2001
  893.9,open,4!22E7N}XX,Bergamot,50,2908
 3775.7,close,5!18{4M}DV,Rosemary,47,6887
 2606.7,open,8!55{6K}VR,Bay,54,10533
  232.6,close,0!58{2P}LJ,Rosemary,16,915
  662.1,open,7!05{3O}SU,Dill,16,8614
  344.9,open,1!00{6H}TA,Oregano,49,10970
  541.2,open,5!43{7L}SI,Rosemary,47,270
   94.9,close,2!62{6DTQ,Thyme,51,5436
  618.5,open,7!81{4L}XK,Oregano,53,170
 2555.4,open,9!51{6L}KE,Coriander,53,2766
  330.8,close,3!87{1O}IZ,Rosemary,44,2561
 2482.7,open,6!35{9X}VX,Bergamot,30,1711
   17.7,open,5!36{5J}ZI,Marjoram,49,5369
  634.3,open,0!90{8J}UW,Basil,48,5160
  207.2,close,0!13{9X}PO,Rosemary,49,8249
  239.3,open,8!47{6J}CP,Dill,44,7650
 1820.5,open,5!23{6O}ER,Basil,54,1323
  662.3,close,1!35{1Z}FX,Rosemary,54,1627
  329.1,close,0!71{1U}HL,Dill,50,1130
  788.0,open,2!29{2G}VP,Sage,53,3834
  161.7,open,1!96{5M}LV,Dill,16,7317
   93.5,close,4!79{2K}WD,Sage,47,1512
  286.7,close,2!67{8A}RO,Rosemary,53,2019
   64.4,close,2!71{3U}WZ,Coriander,45,1846
  658.0,close,4!11{4P}UK,Sage,54,224
  201.3,open,0!16{9V}QL,Rosemary,44,1380
  284.3,close,9!42{1T}ZK,Fennel,47,2354
 1452.2,close,1!19{6H}UQ,Basil,48,1397
   92.8,close,1!68{4H}YL,Mint,38,931
  486.4,open,2!71{6A}YK,Fennel,54,3151
 1411.5,close,2!5{9E}AT,Sage,45,10784
  590.0,open,9!87{3S}VU,Thyme,51,9946
  676.6,open,7!4Q{1R}OZ,Dill,50,6753
  142.4,close,1!65{9C}BJ,Fennel,27,69
  150.1,close,X!25{4N}XN,Bergamot,12,359
  440.5,open,7!50{3Q}UW,Coriander,50,2310
 1373.7,open,6!80{8D}DK,Oregano,50,10904
 1680.1,open,3!29{6U}MK,Fennel,54,294
  396.7,open,1!31{5P}LN,Oregano,51,10780
  287.7,close,5!93{4P}GC,Coriander,52,1922
  105.3,close,3!64{1D}CW,Rosemary,42,2074
 2692.3,close,5!29{4V}OO,Coriander,25,766
 1656.5,close,4!44{0O}LK,Fennel,54,2407
  393.5,open,0!10{9Q}VE,Dill,41,10918
  265.7,open,3!56{5Q}HB,Bay,45,2398
  184.9,close,3!68{4P}D,Fennel,52,3576
  561.8,close,9!21{0L}CD,Thyme,51,4030
  595.4,close,7!60{3N}PM,Dill,50,2154
  558.2,close,5!19{9C}KH,Rosemary,53,5609
 1726.5,close,5!46{0M}TE,Mint,26,1967
  552.9,close,9!98{7Z}ZA,Mint,21,1289
 1741.3,close,1!65{5E}YT,Fennel,25,8930
  238.2,open,4!69{5N}ZB,Sage,53,2493
  610.0,open,9!76{6L}1W,Coriander,50,694
  147.6,close,4!50{3E}NE,Sage,54,3351
  463.5,open,7!48{5A}ZK,Basil,44,309
   28.3,open,5!31{0L}LZ,Oregano,48,528
  433.3,open,0!K4{4X}LP,Mint,45,1748
    7.5,close,5!99{8S}EW,Dill,10,2151
  374.4,close,2!14{3N}QI,Bay,45,5821
  148.2,close,8!17{4A}HT,Oregano,45,1012
  350.1,close,6!85{6T}SQ,Mint,34,869
  185.9,open,4!51{0L}QU,Thyme,51,7100
  490.9,open,0!46{4O}LH,Coriander,6,5412
  182.6,close,7!70{2X}ZT,Dill,54,743
   10.1,open,1!92{7D}UA,Fennel,26,2247
   46.8,open,7!63{1A}LO,Marjoram,44,9397
  597.6,open,4!31{4C}OY,Thyme,51,3429
  666.9,close,4!25{6Z}EY,Bergamot,45,1671
  293.2,close,7!99{3A}RJ,Sage,52,5527
  494.7,close,0!37{2YU}AL,Thyme,46,2682
   58.2,close,3!S1{2O}KL,Mint,54,3090
  114.6,open,8!23{0V}NC,Thyme,49,10247
   90.5,close,5!12{9J}VW,Bay,24,843
   14.8,open,5!06{4G}OY,Fennel,8,960
  431.5,close,9!87{7O}YZ,Rosemary,45,9398
  481.8,close,9!84{7A}QU,Bergamot,49,3233
  691.4,open,3!25{9H}DL,Rosemary,48,3012
    7.4,close,8!35{1I}SE,Borage,51,2656
  121.9,close,2!84{9E}FA,Sage,35,2246
 1540.7,close,2!40{4O}ES,Marjoram,50,9860
  574.2,close,7!27{2N}OH,Bay,45,10649
  478.8,open,1!25{tX}PJ,Dill,10,10068
   19.7,close,5!88{6N}WL,Mint,18,241
  265.7,open,5!52{3T}QM,Rosemary,54,1870
  482.9,open,4!61{7B}EW,Fennel,48,2782
 1082.3,close,0!57{9R}ME,Bergamot,50,2455
  515.3,close,3!63{1P}TQ,Thyme,51,2026
  381.2,open,3!57{6W}OO,Bay,53,1313
  446.3,open,7!54{1T}UK,Coriander,51,7569
  507.3,close,5!90{7R}US,Bay,29,24
  286.0,open,9!60{0J}JG,Mint,38,1740
  627.5,open,7!76{0R}PO,Mint,21,1348
   80.7,close,6!49{7O}IY,Fennel,47,9460
  139.1,open,6!76{3J}OK,Sage,44,4570
 1061.1,open,8!97{3K}AJ,Bergamot,23,383
  612.6,close,0!35{1R}DD,Fennel,52,3510
   24.1,close,v!50{3A}VT,Basil,45,1661
  312.0,close,5!70{6W}GM,Fennel,51,3034
  430.5,open,2!31{7J}QI,Fennel,52,7738
  651.4,open,6623{2Y}TQ,Thyme,52,8157
  745.5,open,1!41{4J}RN,Coriander,48,266
 2602.2,close,5!71{3Q}SY,Thyme,11,2660
  580.6,open,6!75{4N}QC,Dill,53,1620
  179.2,open,7!42{7U}CM,Basil,48,1364
  399.7,open,5!23{9W}YD,Oregano,18,585
   13.7,close,7!44{5C}MT,Marjoram,36,2391
  860.3,close,4!51{9W}XQ,Coriander,44,2766
  483.0,close,8!14{1D}BG,Mint,54,1509
  604.2,close,8!35{1H}QN,Basil,48,1548
  591.9,open,9!49{9B}QH,Rosemary,52,3160
   85.9,open,8!92{0U}PC,Thyme,46,7703
 1305.0,close,9!58{1U}CE,Sage,45,474
  551.9,open,8!82{8B}NV,Mint,49,6551
 3133.3,open,2!49{8U}ZT,Mint,14,8291
  233.7,close,5!42{0N}VR,Mint,38,3560
  209.6,close,6!53{9E}VJ,Dill,53,2222
  310.7,open,5!38{0T}IE,Basil,48,1695
  286.9,open,5!58{1Z}GM,Basil,22,2498
