capacity, state, code, herb, height, tonnes
  186.6,open,4!30{4M}PC,Oregano,54,560
  158.5,open,4!14{8Y}HU,Dill,54,10751
  275.8,open,3!58{8P}OB,Fennel,53,1118
  196.8,open,8!44{6DIR,Thyme,13,2971
  311.0,open,1!75{7}KG,Dill,15,875
  206.8,close,3!15{5T}EE,Thyme,47,671
  519.9,open,5!95{5E}CC,Rosemary,52,644
  473.4,close,0!36{9M}YO,Borage,48,8766
 2438.1,open,3!38{3V}NV,Fennel,50,5244
  250.9,close,6!99{1A}QN,Basil,49,6048
  677.2,open,5!40{1G}QF,Marjoram,51,364
  343.7,close,2!09{6B}WA,Thyme,48,6697
  175.5,close,6!09{1J}OX,Bergamot,46,2168
  421.4,open,1!74{5Q}GD,Dill,50,3752
  574.4,open,3!46{1R}AR,Sage,49,9024
  232.9,open,2!42{5D}DT,Rosemary,54,7133
  179.7,open,3!59{4X}IX,Thyme,48,2795
  326.3,open,8!62{4C}UB,Oregano,41,2826
  591.3,close,9!71{5D}OK,Coriander,50,1678
   56.4,open,9!66{1S}BM,Mint,54,2662
 1742.0,open,7!69{7B}XJ,Sage,46,652
 2820.0,close,9!22{2H}DN,Fennel,47,4863
  419.7,open,7!23{7O}UD,Coriander,11,3069
   74.0,open,1!58{3N}QS,Rosemary,49,1138
   28.9,close,1!82{3I}CI,Mint,45,1103
  136.8,open,9!81{0P}KJ,Borage,54,3236
  241.5,open,8!86{8F}RX,Coriander,44,2241
   29.0,close,2!47{3J}RK,Rosemary,47,741
  403.2,open,1!66{2F}LO,Thyme,52,11904
  174.8,close,0!53{6L}CN,Coriander,32,2047
  344.1,close,7!71{5O}IC,Thyme,51,2022
  433.0,close,4!62{8Y}BO,Basil,47,2519
  420.9,close,5!30{4U}EX,Mint,53,7005
  636.1,close,1!85{9L}OH,Coriander,35,1210
  599.6,close,1!37{5A}CT,Borage,53,2457
 2740.2,open,4!52{0X}AV,Mint,52,5011
  178.5,close,9!75{4S}HB,Bay,48,3454
  408.3,close,9!59{9P}JP,Bay,53,1923
  115.4,close,6!40{0P}QG,Fennel,49,1510
 1357.0,close,7795{6P}IA,Thyme,53,10039
 1183.9,open,G!26{1B}GU,Rosemary,53,3102
  414.3,close,8!79{9L}2X,Fennel,44,9421
  478.7,close,8!18{8K}CU,Bergamot,26,3442
  397.8,close,4!20{5V}FS,Mint,42,11925
  537.5,close,*!22{8G}UZ,Fennel,51,7924
 2513.0,close,7!69{2T}AL,Rosemary,46,2377
 1418.3,close,4!47{7U}JA,Rosemary,52,2443
  431.3,close,5!41{1!}KR,Mint,53,168
  420.0,open,6!32{04}ON,Rosemary,53,1031
  570.9,open,7!90{9I}AF,Mint,51,2856
  448.1,close,7!76{9M}LL,Rosemary,51,1229
 1165.0,open,7!14{2O}EP,Thyme,25,4734
  680.5,close,3!68{1A}KX,Bay,52,5947
  521.1,close,0!8{7P}JW,Fennel,27,1330
  169.1,close,7!81{8I}AJ,Basil,45,11308
  667.3,close,0!23{9S}RU,Basil,47,168
  319.3,open,4!14{AI}MY,Sage,54,2894
  233.4,open,3!16{XW}XY,Rosemary,22,450
  519.4,close,5!75{5Z}GF,Marjoram,48,3102
  106.4,close,6!6n{0T}EU,Coriander,54,356
  600.8,close,7!50{2J}CT,Oregano,46,10485
  261.2,close,3!05{4L}YP,Thyme,37,505
  175.7,open,2!51{3Z}AY,Coriander,44,2325
  121.6,close,4!98{0B}QZ,Fennel,50,3162
  258.6,close,0!30{4Y}XJ,Rosemary,48,953
  585.1,close,9!24{7D}FS,Marjoram,12,22
  542.9,close,7!89{0X}IF,Rosemary,46,2906
  115.2,open,3!99{6J}HR,Mint,44,9678
  267.6,close,3!82{7J}UC,Oregano,45,3421
  511.7,close,2!58{1Z}TF,Dill,49,404
  362.4,close,3!73{5R}HU,Dill,10,880
  672.9,open,0!39{5V}IG,Oregano,46,3419
  631.9,open,6!38{0S}nS,Bay,34,2954
  119.0,close,9!12{0P}SY,Basil,48,3075
  214.7,open,2!07{00N}LY,Thyme,53,1102
 2841.3,close,958{4P}EC,Basil,53,8293
  599.7,open,0!18{3P}RN,Basil,46,15
  672.9,open,5!74{9Q}TW,Fennel,46,3432
   33.3,close,6!61{1N}JX,Bergamot,40,8302
   28.4,close,4!46{2L}RA,Bay,48,9682
  311.6,open,8!73{7MCAS,Borage,51,2721
  364.8,close,7!78{4I}EY,Mint,51,3294
  128.9,close,2!27{9I}SD,Mint,46,1266
 2169.6,close,2!02{4P}YP,Coriander,6,631
   22.3,open,1!58{1K}FM,Coriander,48,2156
  493.7,close,8!27{0U}AA,Sage,49,5809
 2358.4,open,1!44t{9B}QB,Rosemary,54,491
  293.5,open,6!27{2W}XH,Thyme,46,6523
  476.2,close,6!89{8I}(H,Thyme,51,7731
 3678.7,open,4!45{2EWG,Oregano,48,1841
  264.4,open,3!01{9U}PG,Fennel,51,4768
  451.8,close,0!09{5P}HH,Basil,43,3765
 1101.4,open,0!34{0R}NK,Rosemary,54,10395
  505.5,open,1!38{1S}PG,Rosemary,49,915
  479.7,close,3!49{1M}KK,Fennel,47,997
   51.5,open,4!45{7S}AN,Bay,53,4200
  451.9,close,2!52{9V}RM,Bay,54,4572
